Charge Type,Charge Description,row_count,total_value,Major Category,Subcategory,Method
Shipping Charge Correction Large Package Surcharge - Length + Girth,Shipping Charge Correction Large Package Surcharge - Length + Girth,6,1177.5,Administrative & Service Fees,Billing Adjustment / Correction,rule
Shipping Charge Correction Large Package Surcharge Comm - Cubic Volume,Shipping Charge Correction Large Package Surcharge Comm - Cubic Volume,4,533.0,Administrative & Service Fees,Billing Adjustment / Correction,rule
Shipping Charge Correction Next Day Air,Shipping Charge Correction Next Day Air,291,4660.08,Administrative & Service Fees,Billing Adjustment / Correction,rule
Shipping Charge Correction Next Day Air Early,Shipping Charge Correction Next Day Air Early,15,186.67,Administrative & Service Fees,Billing Adjustment / Correction,rule
Shipping Charge Correction Next Day Air Saver,Shipping Charge Correction Next Day Air Saver,11,100.13,Administrative & Service Fees,Billing Adjustment / Correction,rule
Shipping Charge Correction Standard,Shipping Charge Correction Standard,11,405.58,Administrative & Service Fees,Billing Adjustment / Correction,rule
Shipping Charge Correction Third Party Billing Service,Shipping Charge Correction Third Party Billing Service,75,21.09,Administrative & Service Fees,Billing Adjustment / Correction,rule
Shipping Charge Correction Worldwide Saver,Shipping Charge Correction Worldwide Saver,2,30.48,Administrative & Service Fees,Billing Adjustment / Correction,rule
Shipping correction charges,Shipping correction charges,1,41.77,Administrative & Service Fees,Billing Adjustment / Correction,tfidf_fallback
Skid/Pallet Weight 50 lbs. 24~ L X 31~ W X 25~ H Cnt,Skid/Pallet Weight 50 lbs. 24~ L X 31~ W X 25~ H Cnt,1,517.92,Line Haul / Base Transportation,General / Mode Not Specified,tfidf_fallback
Special Assessment Charge,Special Assessment Charge,4,72.22,Other / Uncategorized,Unclassified,none
Special DL,Special DL,1,65.0,Accessorial / Delivery Surcharge,Commercial / Business Delivery Surcharge,tfidf_fallback
Special Express Clearance,Special Express Clearance,1,54.62,Line Haul / Base Transportation,International / Export / Import Freight,tfidf_fallback
Special Services,Special Services,1,1.16,Accessorial / Delivery Surcharge,Commercial / Business Delivery Surcharge,tfidf_fallback
Standard,Standard,28,923.04,Other / Uncategorized,Unclassified,none
Standard Shipment,Standard Shipment,3,430.78,Other / Uncategorized,Unclassified,none
Standard to Canada,Standard to Canada,63,2662.05,Other / Uncategorized,Unclassified,none
Standard- Golf Bag Box,Standard- Golf Bag Box,1,26.99,Other / Uncategorized,Unclassified,none
Standard- Ground Brown Box,Standard- Ground Brown Box,3,16.47,Line Haul / Base Transportation,Ground,rule
Standard- Heavy Materials,Standard- Heavy Materials,1,13.99,Other / Uncategorized,Unclassified,none
"Standard- Large, 20x20x12","Standard- Large, 20x20x12",6,89.94,Other / Uncategorized,Unclassified,none
"Standard- Large, 20x20x20","Standard- Large, 20x20x20",2,35.98,Other / Uncategorized,Unclassified,none
"Standard- Large, 23x17x12","Standard- Large, 23x17x12",3,57.96,Other / Uncategorized,Unclassified,none
"Standard- Large, 24x24x24","Standard- Large, 24x24x24",1,21.99,Other / Uncategorized,Unclassified,none
"Standard- Medium, 16x16x16","Standard- Medium, 16x16x16",4,53.96,Other / Uncategorized,Unclassified,none
"Standard- Medium, 17x17x7","Standard- Medium, 17x17x7",3,34.47,Other / Uncategorized,Unclassified,none
"Standard- Small, 11x11x11","Standard- Small, 11x11x11",3,23.97,Other / Uncategorized,Unclassified,none
"Standard- Small, 12x12x18","Standard- Small, 12x12x18",3,31.47,Other / Uncategorized,Unclassified,none
"Standard- Small, 12x9x6","Standard- Small, 12x9x6",3,20.97,Other / Uncategorized,Unclassified,none
"Standard- Small, 13x9x11","Standard- Small, 13x9x11",7,55.93,Other / Uncategorized,Unclassified,none
"Standard- Small, 8x8x8","Standard- Small, 8x8x8",1,5.49,Other / Uncategorized,Unclassified,none
Standard-Large Slick Mailer,Standard-Large Slick Mailer,1,3.49,Other / Uncategorized,Unclassified,none
Std 28x28x28 275 lb Double Wall Boxes,Std 28x28x28 275 lb Double Wall Boxes,3,80.97,Other / Uncategorized,Unclassified,none
Storage,Storage,3,788.0,Administrative & Service Fees,Package Handling / Storage,rule
Storage Fee,Storage Fee,2,27910.64,Administrative & Service Fees,Package Handling / Storage,rule
Storage cool/freeze,Storage cool/freeze,1,103.27,Administrative & Service Fees,Package Handling / Storage,rule
Storage cool/freeze - dnata,Storage cool/freeze - dnata,1,103.27,Administrative & Service Fees,Package Handling / Storage,rule
Storage cool/freeze DNATA 0,Storage cool/freeze DNATA 0,1,103.27,Administrative & Service Fees,Package Handling / Storage,rule
Storage cool/freeze ,Storage cool/freeze ,1,103.27,Administrative & Service Fees,Package Handling / Storage,rule
Sunday Pickup,Sunday Pickup,1,250.0,Administrative & Service Fees,Pickup Service,rule
Surge Emergency Fee - Com,Surge Emergency Fee - Com,42,698.88,Accessorial / Delivery Surcharge,Demand / Peak Surcharge,rule
Surge Emergency Fee - Residential,Surge Emergency Fee - Residential,7,25.6,Accessorial / Delivery Surcharge,Residential Delivery/Surcharge,rule
Surge Fee - Addl Handling,Surge Fee - Addl Handling,27,306.25,Accessorial / Delivery Surcharge,Additional Handling,rule
Surge Fee - Large Package,Surge Fee - Large Package,13,2208.0,Administrative & Service Fees,Package Handling / Storage,tfidf_fallback
T/C,T/C,45,4082.4,Other / Uncategorized,Unclassified,none
T/C 7,T/C 7,1,23.05,Other / Uncategorized,Unclassified,none
TB Express,TB Express,79,1709.45,Line Haul / Base Transportation,International / Export / Import Freight,tfidf_fallback
TB Express Saver,TB Express Saver,1556,33877.06,Line Haul / Base Transportation,International / Export / Import Freight,tfidf_fallback
TB Standard Undeliverable Return,TB Standard Undeliverable Return,5,614.4900000000001,Accessorial / Delivery Surcharge,Delivery Area Surcharge (DAS),tfidf_fallback
TC PI CKUP,TC PI CKUP,1,500.0,Administrative & Service Fees,Pickup Service,tfidf_fallback
TC PICKUP,TC PICKUP,4,1289.66,Administrative & Service Fees,Pickup Service,rule
TELEX RELEASE FEE,TELEX RELEASE FEE,1,25.0,Other / Uncategorized,Unclassified,none
TERMINAL CHARGE,TERMINAL CHARGE,6,605.7,Accessorial / Delivery Surcharge,Demand / Peak Surcharge,tfidf_fallback
TERMINAL CHARGES,TERMINAL CHARGES,35,1225.0,Other / Uncategorized,Unclassified,none
TERMINAL HANDLING,TERMINAL HANDLING,1,280.0,Accessorial / Delivery Surcharge,Additional Handling,tfidf_fallback
TERMINAL HANDLING CH,TERMINAL HANDLING CH,1,165.0,Accessorial / Delivery Surcharge,Additional Handling,tfidf_fallback
TERMINAL HANDLING CHARGE - DEST,TERMINAL HANDLING CHARGE - DEST,3,576.53,Accessorial / Delivery Surcharge,Additional Handling,tfidf_fallback
TERMINAL HANDLING CHARGE-ORIG,TERMINAL HANDLING CHARGE-ORIG,13,520.0,Accessorial / Delivery Surcharge,Additional Handling,tfidf_fallback
TERMINAL HANDLING SECURITY FEE,TERMINAL HANDLING SECURITY FEE,2,297.15,Accessorial / Delivery Surcharge,Additional Handling,tfidf_fallback
TERMINAL HDLG DEST,TERMINAL HDLG DEST,36,6812.0,Taxes & Customs,GST / HST,tfidf_fallback
TERMINAL SECURITY FEE - ORIG,TERMINAL SECURITY FEE - ORIG,1,55.02,Accessorial / Delivery Surcharge,Security Surcharge,tfidf_fallback
TERMINAL SERVICE CHARGE,TERMINAL SERVICE CHARGE,6,1203.81,Other / Uncategorized,Unclassified,none
TERMINAL TRANSFER ON AIRPORT,TERMINAL TRANSFER ON AIRPORT,3,66.06,Line Haul / Base Transportation,Air Freight,tfidf_fallback
TERMINAL/HANDLING,TERMINAL/HANDLING,3,150.0,Accessorial / Delivery Surcharge,Additional Handling,tfidf_fallback
THC,THC,1,81.18,Other / Uncategorized,Unclassified,none
THC (Terminal - Handling Charge) Import,THC (Terminal - Handling Charge) Import,1,135.0,Line Haul / Base Transportation,International / Export / Import Freight,rule
THC (Terminal Handling Charge) - Export,THC (Terminal Handling Charge) - Export,3,217.13,Line Haul / Base Transportation,International / Export / Import Freight,rule
THC (Terminal Handling charge) - Import,THC (Terminal Handling charge) - Import,1,135.0,Line Haul / Base Transportation,International / Export / Import Freight,rule
THOMPSON INVESTMENT CASTING PRODUCT 60 115 MIN,THOMPSON INVESTMENT CASTING PRODUCT 60 115 MIN,1,118.25,Other / Uncategorized,Unclassified,none
THOMPSON INVESTMENT CASTING PRODUCT 60 127 MIN,THOMPSON INVESTMENT CASTING PRODUCT 60 127 MIN,1,118.25,Other / Uncategorized,Unclassified,none
TICA FEE,TICA FEE,1,40.0,Other / Uncategorized,Unclassified,none
TIME CRITICAL GTD - NOON,TIME CRITICAL GTD - NOON,4,600.0,Accessorial / Delivery Surcharge,Wait Time / Mileage / Toll,tfidf_fallback
TIME CRITICAL GTD LTL STD,TIME CRITICAL GTD LTL STD,1,75.0,Line Haul / Base Transportation,Ground,rule
TIME CRITICAL GTD LTL STDÃƒÂ‚Ã‚Â ,TIME CRITICAL GTD LTL STDÃƒÂ‚Ã‚Â ,1,75.0,Line Haul / Base Transportation,Ground,rule
TIME CRITICAL GTD ,TIME CRITICAL GTD ,1,150.0,Accessorial / Delivery Surcharge,Wait Time / Mileage / Toll,tfidf_fallback
TOL NEDERLAND,TOL NEDERLAND,1,0.44,Other / Uncategorized,Unclassified,none
TOLL,TOLL,1,1.04,Accessorial / Delivery Surcharge,Wait Time / Mileage / Toll,rule
TOLL TOLL CHARGES,TOLL TOLL CHARGES,74,520.7,Accessorial / Delivery Surcharge,Wait Time / Mileage / Toll,rule
TONU,TONU,1,97.0,Other / Uncategorized,Unclassified,none
